dateTime,open,high,low,close,volume
2024-01-22 12:00:00,0.08228000,0.08361000,0.08218000,0.08336000,63612302.00000000
2024-01-22 13:00:00,0.08336000,0.08428000,0.08322000,0.08405000,58554442.00000000
2024-01-22 14:00:00,0.08404000,0.08462000,0.08375000,0.08428000,69838572.00000000
2024-01-22 15:00:00,0.08428000,0.08457000,0.08312000,0.08393000,82084929.00000000
2024-01-22 16:00:00,0.08395000,0.08450000,0.08299000,0.08410000,120623168.00000000
2024-01-22 17:00:00,0.08410000,0.08488000,0.08353000,0.08380000,65242798.00000000
2024-01-22 18:00:00,0.08381000,0.08475000,0.08358000,0.08434000,55818792.00000000
2024-01-22 19:00:00,0.08435000,0.08445000,0.08209000,0.08284000,95395512.00000000
2024-01-22 20:00:00,0.08284000,0.08345000,0.08021000,0.08191000,132426009.00000000
2024-01-22 21:00:00,0.08192000,0.08257000,0.08172000,0.08192000,56969009.00000000
2024-01-22 22:00:00,0.08191000,0.08208000,0.08110000,0.08115000,34873462.00000000
2024-01-22 23:00:00,0.08116000,0.08148000,0.08013000,0.08091000,47181983.00000000
2024-01-23 00:00:00,0.08091000,0.08117000,0.08012000,0.08057000,31410712.00000000
2024-01-23 01:00:00,0.08057000,0.08168000,0.08044000,0.08149000,48421476.00000000
2024-01-23 02:00:00,0.08150000,0.08189000,0.08073000,0.08173000,50994649.00000000
2024-01-23 03:00:00,0.08173000,0.08173000,0.08132000,0.08146000,20404701.00000000
2024-01-23 04:00:00,0.08145000,0.08148000,0.08084000,0.08091000,25193050.00000000
2024-01-23 05:00:00,0.08090000,0.08135000,0.08087000,0.08099000,26431783.00000000
2024-01-23 06:00:00,0.08099000,0.08130000,0.08092000,0.08113000,11564317.00000000
2024-01-23 07:00:00,0.08113000,0.08115000,0.08044000,0.08058000,38429420.00000000
2024-01-23 08:00:00,0.08059000,0.08060000,0.07947000,0.07978000,73065283.00000000
2024-01-23 09:00:00,0.07978000,0.08005000,0.07764000,0.07838000,155433217.00000000
2024-01-23 10:00:00,0.07838000,0.07861000,0.07600000,0.07716000,195662922.00000000
2024-01-23 11:00:00,0.07715000,0.07764000,0.07674000,0.07682000,56112444.00000000
2024-01-23 12:00:00,0.07682000,0.07733000,0.07675000,0.07731000,60230166.00000000
2024-01-23 13:00:00,0.07732000,0.07770000,0.07680000,0.07768000,42650291.00000000
2024-01-23 14:00:00,0.07767000,0.07770000,0.07673000,0.07679000,37121968.00000000
2024-01-23 15:00:00,0.07679000,0.07697000,0.07603000,0.07690000,101295053.00000000
2024-01-23 16:00:00,0.07691000,0.07783000,0.07691000,0.07757000,74348539.00000000
2024-01-23 17:00:00,0.07756000,0.07762000,0.07687000,0.07744000,32640319.00000000
2024-01-23 18:00:00,0.07743000,0.07786000,0.07734000,0.07747000,38835253.00000000
2024-01-23 19:00:00,0.07747000,0.07787000,0.07664000,0.07670000,30708709.00000000
2024-01-23 20:00:00,0.07670000,0.07700000,0.07657000,0.07666000,29637634.00000000
2024-01-23 21:00:00,0.07665000,0.07707000,0.07656000,0.07682000,25088058.00000000
2024-01-23 22:00:00,0.07680000,0.07703000,0.07637000,0.07660000,17299805.00000000
